,neuron-id,current_concepts,concepts_1,concepts_2,concepts_3,concepts_4
3188,5147,"[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('Magic', 1.0), ('Fortune', 0.9420963700557848), ('Dancing', 0.9388409637963548), ('Cities', 0.921231415506279), ('Madison', 0.9136003420139471)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]"
3189,1042,"[('clever', 1.0), ('alcohol', 0.9730334038918078), ('organized', 0.973010393160768), ('apology', 0.9221286763186683), ('sugar', 0.915034128118158)]","[('clever', 1.0), ('alcohol', 0.9281270937630212), ('organized', 0.9187993385565123), ('burnt', 0.9017396304407265), ('researcher', 0.901144248315599)]","[('clever', 1.0), ('organized', 0.9523294611162348), ('alcohol', 0.9485697087465657), ('apology', 0.9064117431117183), ('tiles', 0.9040835280588896)]","[('clever', 1.0), ('organized', 0.9884747721519188), ('alcohol', 0.9653124842854508), ('apology', 0.930019876996669), ('sugar', 0.9207235337239039)]","[('clever', 1.0), ('organized', 0.9918565174449684), ('alcohol', 0.9874530365989614), ('apology', 0.9444407614300959), ('sugar', 0.9348481253390725)]"
3190,5273,"[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('Worldwide', 1.0), ('Nicholson', 0.9061755554672506), ('Amnesty', 0.8958772678644845), ('Stevenson', 0.8839639779493815), ('McBride', 0.8717540502232476)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]"
3191,1071,"[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0), ('weed', 0.5569077532600848)]","[('weed', 1.0), ('overrun', 0.9089623302058535), ('packed', 0.9078341304994278), ('properly', 0.9036657738183242), ('wrong', 0.8664269682228933)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0), ('weed', 0.3417691433563565)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0), ('weed', 0.42660309922830153)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0), ('weed', 0.507060324261522)]"
3192,4520,"[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[(""'Alessandro"", 1.0), ('Koolhaas', 0.942783708270463), (""'Brien"", 0.9189400917476274), ('des', 0.918267910124424), ('Jerónimo', 0.8765589517263425)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]"
3193,1024,"[('valuable', 1.0), ('luxury', 0.9549437659430553), ('Murray', 0.9454238938625124), ('attendance', 0.939377150583855), ('335', 0.926457570947962)]","[('valuable', 1.0), ('Crimson', 0.9353707222063014), ('Tyne', 0.9209533583878831), ('Lumpur', 0.9135646559322443), ('Murray', 0.9125663236789286)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0), ('valuable', 0.6232514090956207)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0), ('valuable', 0.9466022259325328)]","[('valuable', 1.0), ('\x80', 0.9891611580789276), ('\x99', 0.9891611580789276), ('\x9c', 0.9891611580789276), ('\x9d', 0.9891611580789276)]"
3194,2600,"[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('endangered', 1.0), ('voice', 0.8518291891968254), ('departure', 0.836516872126071), ('rocked', 0.8166268007241416), ('formidable', 0.8113977067889508)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]"
3195,4992,"[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('Leicestershire', 1.0), ('Warsaw', 0.999453855326276), ('Wimbledon', 0.9121501214243082), ('Ames', 0.9081672592212534), (""'Neil"", 0.9020907495538425)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]"
3196,939,"[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0), ('Graduate', 0.17951646777287322)]","[('Graduate', 1.0), ('advantages', 0.8600623671512971), ('MS', 0.8497609098945503), ('Ice', 0.8470640023509375), ('athletes', 0.8408762049906942)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0), ('Graduate', 0.11241413968781028)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0), ('Graduate', 0.13688139242177025)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0), ('Graduate', 0.1639047024820801)]"
3197,3611,"[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('Sides', 1.0), ('Dawn', 0.982278804119945), ('Assembly', 0.9648636835271138), ('Honor', 0.9531577439191858), ('Katz', 0.9527492595019831)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]"
